"Pop_Code","standard","actual","fruit.inf.Length","aborted.inf.length","flower.inf.length","bud.inf.Length","Location","Date","Latitude","Longitude","yday","Year"
"CONN00033333","2364.014",10,0,0,2204.17,1525.323,"","1957-08-28",42.853532,-70.991353,240,1957
"CONN00033332","2367.002",10,1646.895,0,0,0,"Shore Santaug Lake, Lynnfield, Essex County, Mass.","1957-10-18",42.53,-71.008333,291,1957
"HF002160","1248.93",10,0,0,626.388,510.221,"Mass: Worcester, swamp south of Lake Ellis","1957-08-08",42.58413,-72.21769,220,1957
"HF002161","1242.928",10,0,0,986.387,715.396,"Mass: Worcester","1957-08-08",42.58413,-72.21769,220,1957
"HF002162","1252.438",10,0,0,671.287,625.994,"Mass: Worcester","1957-08-08",42.58413,-72.21769,220,1957
"WCSU-02618","1424.388",10,0,0,1240.223,566.387,"Conn: Pleasant Valley","1957-07-06",41.93158,-72.97295,187,1957
"1144980","1164.043",10,529.971,0,620.914,298.463,"Kittson Co., Minnesota, river bank of Hallock,","1958-09-11",48.769422,-96.938212,254,1958
"MSC0229795","1164.139",10,278.568,0,450.954,375.54,"Guelph, Ontario, Speed River near Ajax sea cadet house","1958-07-28",43.539961,-80.242692,209,1958
"MSC0147383","1176.206",10,462.695,0,591.994,603.014,"Ingham Co., Michigan, Lake Lansing Road, N side of Lake Lansing","1958-07-11",42.756623,-84.406571,192,1958
"MSC0147215","1178.109",10,851.265,0,393.907,750.356,"Houghton Co., Michigan, Sunshine beach near Villiage of Houghton","1958-08-11",47.088811,-88.515649,223,1958
"MICH-V-1355538","1167.096",10,1079.079,0,904.129,602.065,"Hillsdale Co., creek bank near SW corner of sec 14, Jefferson Tp, 8mi SE of Hillsdale","1958-07-15",41.855204,-84.496093,196,1958
"MT00043526","1234.015",10,0,0,1179.618,687.096,"48.45 -70.9","1958-07-25",45.45,-70.9,206,1958
"918950482","155.01",5,0,0,68.96,66.31,NA,NA,48.07,-65.45,216,1958
"919021288","614.12",5,196.98,0,1918.15,631.44,NA,NA,42.46,-71.35,193,1958
"931053613","433",5,0,0,1269.67,404.83,NA,NA,43.05,-82.04,210,1958
"CONN00032690","2355.048",10,3817.331,0,2301.381,690.704,"","1958-09-16",42.466667,-71.016667,259,1958
"CONN00033331","2360.054",10,1015.947,0,1698.728,1077.145,"Mass: Essex County: Danvers","1958-09-09",42.566667,-70.95,252,1958
"CONN00032691","2350.109",10,3872.146,0,1908.233,443.64,"Mass: Essex County: North Andover","1958-09-21",42.683333,-71.083333,264,1958
"CONN00033330","2348.029",10,0,0,2033.187,1209.916,"Mass: Essec County: Rowley","1958-08-09",42.733333,-70.883333,221,1958
"NYBG-00366264","1216.232",10,0,0,1312.499,539.917,"Conn: New Haven: Mill River","1958-08-09",41.306827,-72.908256,221,1958
"ILLS00071265","1162.028",10,2048.908,0,109.289,94.403,"Shore of the island in Cedar Lake, Lake Villa, Lake County, Illinois","1959-08-05",42.422722,-88.087071,217,1959
"1189137","1168",10,2576.812,0,299.412,529.083,"LaCrosse Co., Wisconsin, Burns Valley along creek, Burns Twp","1959-08-14",43.937625,-90.976083,226,1959
"MICH-V-1355530","1168.062",10,420.046,0,378.006,722.915,"Barry Co., Michigan, Sw end of Crooked Lake, Prairieville Tp, 3mi SW of Prairieville","1959-07-05",42.464864,-85.476046,186,1959
"v0047813WIS","1180.051",10,4660.466,0,540.906,292.358,"La Crosse Co., Wisconsin, along Highway 162, Town of Burns, see map","1959-09-03",43.991555,-90.941598,246,1959
"v0047769WIS","1176.096",10,2966.253,0,641.329,467.499,"Roadside near farm garden, along Highway 13, NW of Mellen, T45N, R3W S24,","1959-09-01",46.376376,-90.730984,244,1959
"v0047792WIS","1182.083",10,748.916,0,830.087,462.922,"Jefferson Co., Wisconsin, Paul Teruner's nature preserve in Palmyra, below dam on Scuppernong River","1959-07-11",42.889243,-88.552279,192,1959
"v0056086WIS","1178.061",10,2474.128,0,680.548,709.676,"Waupaca Co., Wisconsin, Vesey Lake, see map, near Ogdensburg","1959-07-11",44.422289,-88.983758,192,1959
"v0047814WIS","1176.027",10,1350.73,0,831.167,733.952,"Langlade Co., Wisconsin, T31N R10E Sec 17","1959-07-06",45.172222,-89.279984,187,1959
"v0047812WIS","1183.061",10,3517.569,0,586.271,517.359,"LaCrosse Co., Wisconsin, Burns TWp T17N R5W sec 2, creek in Burns Valley","1959-08-14",43.994224,-90.942949,226,1959
"MT00043527","1232.002",10,550.898,0,1173.992,832.14,"48.45 -70.9","1959-07-22",45.45,-70.9,203,1959
"MT00043528","1232.006",10,283.756,0,0,80,"48.25 -70.67","1959-08-12",48.25,-70.67,224,1959
"MT00043529","1234.002",10,1950.141,0,524.557,101.272,"45.208949 -73.259629","1959-08-18",45.2089,-73.259629,230,1959
"465910713","150.5",5,561.65,0,0,77.03,NA,NA,48.229645,-69.800621,252,1959
"2012758","623.007",5,1408.617,0,2615.892,0,NA,NA,43.863333,-117.61,231,1959
"2012759","624.013",5,1535.344,0,1491.147,325.22,NA,NA,43.863333,-117.61,231,1959
"ILL00121806","881.009",10,1549.359,0,364.472,351.551,"Wisconsin, LaCrosse Co., T17N R5W S2","1959-08-14",43.988645,-90.926975,226,1959
"1189101","1166.002",10,572.801,0,77.86,97.673,"Wisconsin, Duluth-Superior Harbor, Marker's Island, Superior, SW side, 0.5mi SE of Superior Marina causway","1960-08-13",46.70448,-92.056661,226,1960
"MSC0147218","1176.061",10,765.59,0,792.084,830.433,"Houghton Co., Michigan, near Sunshine Beach,","1960-09-09",47.088811,-88.515649,253,1960
"MSC0147207","1176.333",10,0,0,871.827,852.673,"Cass Co., Michigan, Russ Forest banks of stream Sec21R14W T5S","1960-07-14",42.021795,-85.945554,196,1960
"OS116497","1276.226",10,604.629,0,742.278,136.953,"40.87000 -81.45472, Stark Co., Ohio, Jackson Twp","1960-07-15",40.87,-81.45472,197,1960
"MICH-V-1433773","1166.007",10,584.215,0,1169.387,311.397,"Grey Co., Ontario, Sunset Point, Collingwood","1960-07-17",44.508578,-80.205332,199,1960
"UWL0000024","904.005",10,0,0,884.352,413.042,"46.71800 -92.05575","1960-08-13",46.718,-82.05575,226,1960
"v0047775WIS","1174.061",10,1024.716,0,221.449,198.452,"Burnett Co., Wisconsin, T37N R18W, Sect2, north shore of Spirit Lake","1960-08-22",45.720636,-92.54981,235,1960
"v0305262WIS","894.014",10,0,0,570.771,983.359,"42.14734 -90.15600","1960-07-09",42.14734,-90.156,191,1960
"366318","1892",10,0,0,4165.541,1505.872,"Boise River, Canyon Co, NW of Caldwell, Idaho","1960-07-21",43.67694,-116.704062,203,1960
"MT00043530","1230.007",10,0,0,1398.326,310.828,"48.43 -70.83","1960-07-21",45.73,-70.83,203,1960
"918950491","156.01",5,955.09,0,192.78,180.52,NA,NA,49.21,-122.91,234,1960
"2008846","622.013",5,0,0,1794.983,937.734,NA,NA,47.575193,-116.412674,200,1960
"UVMVT126348","1230.003",10,0,0,1192.671,325.011,"Mass: Nobska Pond","1960-07-17",41.518047,-70.658348,199,1960
"NYBG-00366285","1224.233",10,626.988,0,662.122,627.398,"Manitoba: Portage-La-Prairie","1960-08-21",49.967538,-98.294152,234,1960
"1189140","1168",10,3185.272,0,978.266,0,"Erie Co., Ohio, Rest Haven Wildlife Area, Castalia, zone VI","1961-08-10",41.417406,-82.828149,222,1961
"KHD00046076","1116",10,462.56,0,1491.568,674.005,"41.63409 -87.09101, Indiana USA","1961-07-20",41.63409,-87.09101,201,1961
"MSC0238504","772.023",10,0,0,503.769,261.847,"St. Maurice Co., Quebec, 0.5mi E of Trois Rivieres, sandy beach along St. Lawrence River","1961-08-03",46.409779,-72.420413,215,1961
"CHRB0001074","1044.031",10,639.35,0,932.593,817.98,"40.87650 -74.61190","1961-08-01",40.8765,-74.6119,213,1961
"ILL00121765","879.009",10,1335.664,0,1321.656,622.714,"Adams CO., Indiana, US 27 at the south edge of Decatur","1961-07-25",40.809605,-84.936838,206,1961
"ILL00121766","880.02",10,150.083,0,132.076,949.184,"Cass Co., Indiana, south shore of Lake Cicott","1961-07-01",40.76489,-86.526719,182,1961
"v0047830WIS","1173.061",10,1528.368,0,506.567,0,"Marinette Co., Wisconsin, T29N, R23E Sec 3, see x at corner of map","1961-07-19",45.004539,-87.686782,200,1961
"v0056076WIS","1180.034",10,327.371,0,1342.599,832.823,"Waukesha Co., Wisconsin, Lake LaBelle in Oconomowoc, T8N R17E, sec 30","1961-07-24",43.119002,-88.499791,205,1961
"OSU_10162","1232.002",10,0,0,1806.587,874.62,"Essex Co. Near Route 1 about 4.8 mi north of Route 128 Mass. ","1961-08-05",42.583904,-70.961925,217,1961
"RMBC_100554","1248",10,818.019,0,573.798,523.027,"SooKe Rd. ","1961-08-17",48.357713,-123.65235,229,1961
"MT00043531","1230.007",10,0,0,868.936,505.13,"Boulevard Champlain","1961-07-10",45.426994,-73.612748,191,1961
"MT00043532","1232",10,0,0,1024.007,605.31,"Ã«lets JÅ½rÅ½mie","1961-08-09",48.881779,-68.786598,221,1961
"MT00043533","1234.002",10,0,0,0,700.889," Ã«lets JÅ½rÅ½mie, ","1961-08-09",48.88001,-68.803115,221,1961
"MT00043534","1228.026",10,2221.145,0,0,144.014,"46.743825 -71.341247","1961-09-25",46.743825,-71.341247,268,1961
"465766060","146",5,492.02,0,0,0,NA,NA,45.831364,-61.926315,223,1961
"919011106","612.05",5,975.975,2682.715,703.93,216.92,NA,NA,43.1,-70.83,271,1961
"CONN00032771","2358.069",10,2407.696,0,1148.531,935.295,"Nantucket, Nantucket Is., Mass.","1961-08-03",41.283333,-70.166667,215,1961
"CONN00036813","2358",10,5271.331,0,2204.433,934.267,"Nantucket, Nantucket Is., Mass.","1961-08-03",41.283333,-70.166667,215,1961
"CONN00032772","2364.014",10,2242.275,0,2118.114,825.92,"Nantucket, Nantucket Is., Mass.","1961-08-03",41.283333,-70.166667,215,1961
"CONN00032768","2358.017",10,287.891,0,1586.145,1175.856,"Nantucket, Nantucket Is., Mass.","1961-08-02",41.283333,-70.166667,214,1961
"CONN00050525","2355.155",10,4177.915,0,1445.412,1393.937,"New Jersey: Morris County: Parsippany-Troy Hills: Troy Meadows","1961-08-01",40.845833,-74.376667,213,1961
"NYBG-00365711","1216.231",10,2296.338,0,1041.212,565.23,"Mass: Nantucket: Nantucket Island","1961-08-03",41.283333,-70.166667,215,1961
"NYBG-00365712","1224.119",10,898.888,0,507.232,0,"Mass: Nantucket: Nantucket Island","1961-08-02",41.283333,-70.166667,214,1961
"NYBG-00365697","1220.376",10,0,0,1495.484,1082.838,"Michigan: Kent: Murray Lake","1961-07-30",43.034305,-85.376079,211,1961
"NYBG-00365710","1220.37",10,2560.842,0,1360.288,418.222,"Mass: Nantucket: Nantucket Island","1961-08-03",41.283333,-70.166667,215,1961
"ILLS00071247","880.014",10,613.643,0,730.395,880.635,"Carroll Co., MississippiPalisades State Park, Illinois T25N R3E, Sec 26, see map","1962-08-17",42.130341,-90.125641,229,1962
"KHD00046075","1116.016",10,1969.099,0,608.487,695.627,"41.56520 -87,59656, Cook, Illinois","1962-07-04",41.5652,-87.59656,185,1962
"OS0016032","1230.041",10,2390.171,0,614.644,1235.386,"Cheboygan Co., Michigan, Koehler Twp, bank of Indian River, Sec 19 T35N R2W","1962-07-18",45.410604,-84.578288,199,1962
"OS70573","1278.189",10,791.593,0,385.801,1042.404,"40.98111 -80.61833, Evans Lake","1962-08-12",40.98111,-80.61833,224,1962
"v0047832WIS","1172.084",10,1463.014,0,0,0,"Marquette Co, Wisconsin, Sec 33 T16N, R8E","1962-09-04",43.809571,-89.545627,247,1962
"v0047829WIS","1183.051",10,845.507,0,422.137,320.968,"Marinette Co., Wisconsin, 25mi NW west of Marinette on Highway 180, at school forest T33N R22E sec 7","1962-07-21",45.351171,-87.886936,202,1962
"UWM0012391","613.052",10,351.515,0,930.429,431.136,"Milwaukee Co., Wisconsin, Glendale, dumb area W of Milwaukee River Parkway and NW of City Hall","1962-07-21",43.124867,-87.929341,202,1962
"MT00043535","1234.015",10,1449.609,0,255.636,103.247,"45.48 -75.95","1962-07-12",45.48,-78.95,193,1962
"MT00043536","1228.007",10,0,0,975.545,454.971,"46.67 -71.78","1962-07-23",46.67,-71.78,204,1962
"IND-0075829","1497.048",10,3700.088,0,478.739,622.016,"Whitley-Noble Co., Indiana, &mi N of Columbia City, Crooked Lake","1962-07-29",41.262198,-85.474711,210,1962
"MT00043537","1232.006",10,0,0,691.711,507.068,"46.510820 -70.939205","1962-08-05",46.510822,-70.939205,217,1962
"465766061","148",5,864.26,0,0,27.66,NA,NA,44.7,-65.65,238,1962
"918950496","154.51",5,0,0,176.18,151.09,NA,NA,45.9,-77.28,200,1962
"919022370","615.12",5,1968.89,0,0,0,NA,NA,42.86,-71.63,275,1962
"919027513","609.07",5,0,0,1163.52,389.03,NA,NA,43.38,-72.24,227,1962
"941142","628.003",5,0,0,2156.199,1079.241,NA,NA,47.508263,-115.867938,201,1962
"2315169","611.013",5,0,0,1808.94,701.644,NA,NA,45.546962,-123.138602,200,1962
"UVMVT084346","1228",10,0,0,903.282,120.893,"Vermont: Chittenden County: Shelburne: along shore of Shelburne Bay","1962-08-31",44.399887,-73.233776,243,1962
"v0056084WIS","1178.042",10,882.38,0,548.409,0,"Waupaca Co., Wisconsin, just S of Scandinavia on Hwy 49","1963-07-28",44.453096,-89.14445,209,1963
"MT00043538","1230.007",10,0,0,2253.974,963.04,"45.460203 -73.548712","1963-06-27",45.460203,-73.548712,178,1963
"MT00110401","1234.002",10,881.997,0,205.6,276.622,"45.3333333 -73.95","1963-08-20",45.33333,-73.95,232,1963
"MT00043539","1232",10,155.641,0,0,0,"45.460203 -73.548712","1963-08-22",45.460203,-73.548712,234,1963
"918950471","155.01",5,0,0,697.13,96.17,NA,NA,49.194272,-119.543581,190,1963
"918950494","155.53",5,394.93,0,261.2,142.9,NA,NA,46.77,-71.27,207,1963
"919009161","612.12",5,0,0,983.3,283.75,NA,NA,42.99,-71.05,248,1963
"919025895","612.03",5,0,0,1261.07,301.52,NA,NA,43.41,-70.67,210,1963
"919027787","615.07",5,3587.59,0,0,0,NA,NA,41.38,-70.65,203,1963
"CONN00003875","2352.031",10,547.708,0,877.25,311.333,"Watch Hill, Rhode Island","1963-08-15",41.314167,-71.846667,227,1963
"CONN00003881","2349.123",10,2041.839,0,3318.983,1143.283,"Mass: Dukes County: Martha's Vineyard","1963-06-22",41.316667,-70.8785,173,1963
"NYBG-00365713","1224.388",10,1169.002,0,1889.121,741.039,"Mass: Dukes: Squibnocket Pond: Martha's Vineyard","1963-07-22",41.316667,-70.8785,203,1963
"NYBG-00366275","1216.238",10,0,0,1713.239,255.481,"NY: Westchester: Ardsley","1963-08-15",41.0216,-73.844965,227,1963
"MSC0147216","1178.244",10,1161.453,0,1083.025,931.771,"Indian Lake near Lake Orion, Michigan","1964-07-05",42.800627,-83.209927,187,1964
"MSC0147392","1180.108",10,533.885,0,1924.192,542.181,"Oakland Co., Michigan T2N R9E Sec28","1964-07-05",42.549213,-83.389708,187,1964
"WTU-V-022162","1248.004",10,727.406,0,141.276,276.016,"Canyon County, Boise River at E. end of highway Bridge","1964-08-21",43.682247,-116.686939,234,1964
"3009093","480.009",10,309.478,0,0,49.739,"Canyon Co., Idaho, Boise River at east end of old highway bridge, where river emerges from lava bluffs of Canyon Hill, Caldwell T4N R3W S15","1964-08-21",43.688357,-116.8678,234,1964
"MT00110402","1234.006",10,283.452,0,172.003,107.629,"45.3772222 -73.8580556","1964-08-26",45.377222,-73.8580556,239,1964
"465766064","146",5,210.42,0,203.24,102.4,NA,NA,46.206481,-60.25238,229,1964
"919011833","612.03",5,2962.808,657.389,0,132.544,NA,NA,42.54,-72.61,271,1964
"931058098","432",5,513.31,0,410.9,125.87,NA,NA,44.38,-64.32,232,1964
"1960007","622.013",5,2960.288,0,769.6,0,NA,NA,47.548034,-121.983603,231,1964
"1960010","622.001",5,3623.278,0,0,0,NA,NA,47.548034,-121.983603,231,1964
"UVMVT084368","1230.992",10,0,0,2149.229,584.044,"Vermont: South Slang Marsh","1964-07-10",44.187139,-73.296394,192,1964
"NYBG-00366301","1224.238",10,0,0,1598.812,727.127,"NY: Orange: Popolone Gorge","1964-08-26",41.329329,-73.99755,239,1964
"MU-V-000103171","1162.497",10,726.554,0,907.558,594.22,"Vermont, Sand Bar Bridge","1964-07-05",44.627443,-73.239845,187,1964
"K31234100529880","1371.082",10,1062.704,696.904,413.674,0,"Raccoon Creek Rd. 2.1 mi E of jct & US 119, Pike, Kentucky","1965-06-24",37.51978,-82.420367,175,1965
"HCHM07005","1004.002",10,903.813,0,105.622,118.962,"Michigan, Grand Traverse Co., T26, R11W Sec 3, ","1965-08-26",44.681617,-85.626393,238,1965
"HCHM07007","1000.002",10,0,0,952.522,783.983,"Allegan Co., Michigan, Shore of Kelly Lake","1965-08-07",42.749408,-86.197976,219,1965
"HCHM07019","1006.008",10,3266.701,0,425.025,279.528,"Ottawa County T7N R16 W sec1, riverside","1965-08-20",43.024473,-86.152748,232,1965
"ILLS00071276","880.02",10,2005.846,0,0,473.861,"Waste Ground, N. of Keller, Peoria County, Illinois","1965-07-11",40.76333,-89.869452,192,1965
"MSC0147382","1176.333",10,1226.874,0,207.327,251.373,"Livingston, Whitmore Lake shoreline, Michigan","1965-09-08",42.424843,-83.763085,251,1965
"MSC0147385","1174.436",10,1476.619,0,238.73,138.924,"Ottawa Co., Michigan T7N R16w Sec 1 Riverside","1965-08-20",43.061022,-86.202275,232,1965
"OS100496","638.078",5,1939.681,0,1812.84,905.457,"41.41750 -82.83139 Erie Co., Ohio, Rest Haven Public Hunting Area","1965-07-17",41.4175,-82.83139,198,1965
"ILL00121742","879.005",10,1789.915,0,336.15,146.82,"Peoria Co., Illinois, waste ground N of Keller","1965-07-11",40.763322,-89.594472,192,1965
"ILL00121778","1163.021",10,0,0,973.293,602.241,"Winona Co., Minnesota, near Winona, along Mississippi River","1965-07-31",44.050835,-91.620101,212,1965
"MICH-V-1355544","1166.043",10,321.076,0,592.725,624.113,"Berrien Co., Michgan, stream edge next to Route 31 N of Niles","1965-07-03",41.840612,-86.313686,184,1965
"v0056088WIS","1172.061",10,732.839,0,0,503.783,"Winnebago County, beside RR tracks, S. Main at its juncture with US 45, Oshkosh.","1965-07-29",44.015192,-88.53362,210,1965
"v0056089WIS","1182.061",10,2426.693,0,619.682,0,"Winnebago Co., beside RR tracks, S. Main at juncture with US 45, Oshkosh","1965-07-29",44.017944,-88.537187,210,1965
"MT00043548","1228.007",10,0,0,761.635,625.652,"45.333907 -73.846137","1965-06-25",45.333907,-73.846167,176,1965
"MT00043549","1234.006",10,312.231,0,1182.898,420.427,"45.333907 -73.846137","1965-06-25",45.333907,-73.846167,176,1965
"MT00043550","1232.015",10,0,0,462.98,873.991,"45.331914 -73.839339","1965-06-29",45.331914,-73.8393,180,1965
"MT00043551","1232.006",10,0,0,806.794,835.735,"45.331174 -73.851702","1965-06-29",45.331174,-73.851702,180,1965
"MT00043540","1234.015",10,0,0,1191.099,671.501,"45.32 -73.87","1965-07-05",45.32,-73.87,186,1965
"MT00043541","1228.002",10,834.9,0,1041.693,720.557,"45.32 -73.87","1965-07-05",45.32,-73.87,186,1965
"MT00043542","1232",10,458.09,0,517.583,303.444," 45.328446 -73.854388 â€les de la Paix, ile du Docteur","1965-07-06",45.3284,-73.8544,187,1965
"MT00043543","1230.026",10,629.232,0,611.477,519.295,"45.32 -73.87","1965-07-12",45.32,-73.87,193,1965
"MT00043544","1232.002",10,2128.628,0,228.98,865.842,"45.348599 -73.836730","1965-07-19",45.348599,-73.83673,200,1965
"MT00043545","1230.015",10,246.868,0,333.675,380.206,"45.348599 -73.836730","1965-07-19",45.348599,-73.83673,200,1965
"MT00043546","1232.002",10,476.352,0,420.234,388.893,"45.332163 -73.839073","1965-08-04",45.332163,-73.839073,216,1965
"MT00043547","1228.015",10,906.786,0,975.616,568.045,"45.333907 -73.846137","1965-08-05",45.333907,-73.846167,217,1965
"931095459","433.34",5,2375.62,0,0,0,NA,NA,43.78,-80.54,221,1965
"CONN00003869","2364.03",10,1607.685,0,1140.957,561.883,"Mass: Dukes County: Aquinnah: Martha's Vineyard","1965-08-29",41.333333,-70.8,241,1965
"CONN00032770","2356.003",10,2415.363,0,700.56,295.142,"Mass: Dukes County: Aquinnah: Martha's Vineyard","1965-08-29",41.333333,-70.8,241,1965
"NHA-726682","1604",10,2514.068,0,1473.877,481.065,"Mass: Dukes","1965-08-29",41.33859,-70.80022,241,1965
"CCSU-05450","1416.232",10,0,0,1576.39,240.133,"Conn: Berlin","1965-07-15",41.61116,-72.77603,196,1965
"TENN-V-0155175","1332.188",10,750.088,0,464.033,268.388,"Kentucky: Pike County: Raccoon Creek","1965-06-24",37.515795,-82.434738,175,1965
"NYBG-00365709","1224.232",10,2256.311,0,864.801,338.702,"Mass: Dukes: Gay Head: Martha's Vineyard","1965-08-29",41.385887,-70.63878,241,1965
"NYBG-00365747","1220.001",10,318.555,0,881.326,556.932,"NY: Bronx County: Bronx, New York Botanical Garden","1965-09-16",40.862489,-73.881048,259,1965
"HCHM07017","1000.002",10,0,0,97.015,89.107,"Ottawa Co., Michigan, T7N R16W S1","1965-08-20",43.066809,-86.208879,232,1965
"EMC010009","1014.018",10,373.541,0,522.884,0,"C and O tracks west of Beck Road, Plymouth Township, Wayne, MI","1966-08-06",42.383623,-83.490537,218,1966
"MSC0147217","1174.083",10,379.95,0,945.706,192.483,"5mi S of Escanaba, Michigan along Highway 35","1966-08-02",45.666956,-87.16447,214,1966
"OS368336","1276.307",10,955.404,0,823.791,954.72,"41.40000 -82.80861 Erie Co., north of Castalia","1966-07-31",41.4,-82.80861,212,1966
"OS98335","1272.266",10,1408.189,0,567.546,413.209,"41.45917 -82.99306","1966-07-30",41.45917,-82.99306,211,1966
"MT00043552","1230",10,950.61,0,706.399,997.702,"45.709153 -73.464251","1966-06-29",45.709153,-73.464251,180,1966
"MT00043553","1232.006",10,501.97,0,959.793,695.289,"45.703765 -73.468520","1966-07-01",45.703765,-73.46852,182,1966
"MT00043554","1232.015",10,849.644,0,922.064,888.103,"45.704860 -73.458349","1966-07-04",45.70486,-73.458349,185,1966
"MT00043556","1232.006",10,0,0,3592.121,997.287,"45.696583 -73.469388","1966-07-06",45.696583,-73.469388,187,1966
"MT00043555","1230.002",10,0,0,772.995,1047.276,"45.697445 -73.470038","1966-07-06",45.696583,-73.469388,187,1966
"MT00043565","1234",10,0,0,438.081,527.955,"45.363930 -73.921100","1966-07-07",45.34393,-73.9211,188,1966
"MT00043557","1230.007",10,0,0,1639.899,1291.484,"45.694371 -73.475859","1966-07-08",45.694371,-73.475859,189,1966
"MT00043558","1232.006",10,1409.534,0,505.803,412.639,"45.694371 -73.475859","1966-07-11",45.694371,-73.475859,192,1966
"MT00043559","1228",10,0,0,499.52,773.38,"45.671385 -73.477308","1966-07-14",45.671385,-73.477308,195,1966
"MT00043560","1232",10,1296.866,0,738.551,443.973,"45.676683 -73.459477","1966-07-16",45.676683,-73.459477,197,1966
"MT00043561","1230.007",10,0,0,175.829,937.412,"45.7223 -73.4486","1966-07-20",45.7223,-73.4486,201,1966
"MT00043564","1230.015",10,0,0,0,1752.205,"Ile Hervieux, see map, 45*42 -73*27","1966-07-22",45.882813,-73.265884,203,1966
"MT00186706","1232",10,535.599,0,794.343,458.451,"45.7229 -73.4454","1966-07-25",45.7229,-73.4454,206,1966
"MT00043562","1230.002",10,994.255,0,1085.343,430.535,"45.6602 -73.4584","1966-07-25",45.6602,-73.4584,206,1966
"MT00043563","1236.002",10,1026.59,0,74.668,216.749,"45.6602 -73.4584","1966-07-25",45.6602,-73.4584,206,1966
"MT00063179","1234.006",10,1556.537,0,0,231.206,"45.899539 -71.348433","1966-08-17",45.899539,-71.348433,229,1966
"MT00043567","1232.015",10,1917.124,0,0,0,"45.9 -71.37","1966-08-17",45.9,-71.37,229,1966
"465910700","151.5",5,207.51,0,0,18.87,NA,NA,45.814874,-71.37403,229,1966
"465910706","150.01",5,0,0,375.49,262.93,NA,NA,44.327013,-76.165745,194,1966
"918950475","156.67",5,351,0,0,58.03,NA,NA,45.9,-71.36,229,1966
"919024284","615.03",5,1742.06,0,0,873.14,NA,NA,44.37,-71.61,195,1966
"919029589","612.07",5,2026.37,0,765.58,731.85,NA,NA,44.61,-71.2,220,1966
"931060189","432",5,914.83,0,0,94.59,NA,NA,45.83,-71.42,229,1966
"CONN00003812","2361.002",10,2855.057,0,1185.706,0,"Unionville, Conn., on shores of Farmington River","1966-07-27",41.757778,-72.886667,208,1966
"CONN00003832","2352.017",10,0,0,1201.814,2491.306,"Housatonic River, Oxford","1966-08-13",41.391389,-73.183333,225,1966
"UVMVT126341","1232.002",10,0,0,707.283,185.331,"Maine: Sagadahon: Kennebec River","1966-09-10",44.03395,-69.87071,253,1966
"NYBG-00365746","1220.059",10,0,0,822.32,145.584,"NY: Bronx County: Bronx, New York Botanical Garden","1966-08-06",40.862489,-73.881048,218,1966
"3009071","478.004",10,167.703,0,94.944,95.671,"New Jersey Camdeb","1966-07-29",39.925946,-75.11962,210,1966
"1144996","1170.043",10,1670.452,0,566.422,453.37,"Winona Co., Minnesota, W shore of Lake Winona, T. 107N R7W Sect 27","1967-08-27",44.042098,-91.648782,239,1967
"1189115","1170.002",10,1059.289,0,679.666,384.43,"margin of Pleasant Pond, north of Francestown, Hillsboro Co, Mew Hampshire","1967-08-15",43.023706,-71.816575,227,1967
"1189127","1168.002",10,0,0,834.974,548.006,"Middlesex Co., railroad and kae shore, 4.5mi SE of junction Mass.Rts 40 and 119 on Mass Rt. 119 (SE of Groton)","1967-07-07",42.570017,-71.501153,188,1967
"MU-V-000195941","1164.757",10,0,0,935.489,663.264,"Erie Co., Ohio, Berlin Twp, Old Woman Creek mouth","1967-07-16",41.38272,-82.51908,197,1967
"MSC0229789","1162.248",10,0,0,763.405,547.009,"Erie Co., Ohio, Old Woman Creek near mouth, Berlin Twp","1967-07-16",41.38272,-82.51908,197,1967
"OS100144","1276.401",10,0,0,1151.442,1162.804,"41.40000 -82.80861, Erie Co., Ohio, along edge of pond at the Maples, North Central Branch of The Ohio Agricultural Research and Development Center, SE side of Snadusky Bay, NW corner of the CO., 4mi NW of Castalia","1967-07-10",41.4,-82.80861,191,1967
"OS368338","1278.225",10,587.98,0,1406.113,669.08,"41.32667 -82.48806 Erie Co., bank of Old Woman Creek","1967-07-16",41.32667,-82.48806,197,1967
"OS432092","1278.264",10,1059.361,0,1857.267,1033.583,"41.41750 -82.83139 Resthaven Wildlife Area, Ohio","1967-08-12",41.4175,-82.83139,224,1967
"OS90717","1276.265",10,961.434,0,660.317,1172.105,"41.51278 -82.92472 Lakeview Park","1967-07-19",41.51278,-82.92472,200,1967
"OS90744","1274.226",10,717.579,0,0,756.593,"41.40000 -82.80861 ","1967-07-10",41.4,-82.80861,191,1967
"OS90745","1274.19",10,777.108,0,265.217,1056.305," 41.47250 -82.81111 ","1967-07-08",41.4725,-82.81111,189,1967
"OS91001","1276.226",10,0,0,1391.254,1035.906,"41.40861 -82.80583","1967-07-12",41.40861,-82.80593,193,1967
"OS91010","1274.19",10,1063.787,0,1916.876,1324.72,"41.41750 -82.83139","1967-07-18",41.4175,-82.83139,199,1967
"OS97284","1276.19",10,453.574,0,599.309,749.126,"41.63972 -84.36111","1967-08-20",41.63972,-84.36111,232,1967
"OS97285","1278.189",10,1023.823,0,311.949,286.827,"41.58611 -84.43500","1967-08-20",41.58611,-84.435,232,1967
"OS97286","1274.226",10,1475.874,0,528.776,880.847,"41.30944 -82.70194","1967-07-12",41.30944,-82.70194,193,1967
